Project,Model,Effort_Incurred,Effort_Saved,Net_Effort_Saved,ESP,Annualized_ESP
tensorflow,Line,3874318.52,179796.12000000005,-3694522.4,-0.954,-0.642
neutron,Line,4674.0,1567205.4400000002,1562531.44,334.303,5.947
vue,Line,178488.48,316004.0,137515.52,0.77,0.21
moby,Line,65756.20999999999,0.0,-65756.21,-1.0,-1.0
angular,Line,147097.47,156821.68,9724.21,0.066,0.022
node,Line,23836414.0,370477.61,-23465936.39,-0.984,-0.748
home-assistant,Line,275674.47,4338390.0,4062715.53,14.737,1.506
gitlabhq,Line,55335.17000000003,37412.580000000016,-17922.59,-0.324,-0.122
orleans,Line,140116.41,598.0,-139518.41,-0.996,-0.841
roslyn,Line,275200.2,12230.0,-262970.2,-0.956,-0.647
cli,Line,101382.68,141089.88,39707.2,0.392,0.117
ansible,Line,1600747.43,33428450.540000003,31827703.11,19.883,1.754
nova,Line,70903.73000000001,1064572.38,993668.65,14.014,1.467
angular.js,Line,503063.7,2706335.8699999996,2203272.17,4.38,0.752
lock,Line,13907.350000000002,245512.0,231604.65,16.653,1.604
mesos,Line,175963.39,193986.76,18023.37,0.102,0.033
react,Line,399780.8,3332937.1999999997,2933156.4,7.337,1.028
brew,Line,11334.17,1796.3400000000004,-9537.83,-0.842,-0.459
kubernetes,Line,880360.27,154756.5,-725603.77,-0.824,-0.44
cinder,Line,77832.0,2979033.2700000005,2901201.27,37.275,2.37
nixpkgs,Line,526651.03,43604.810000000005,-483046.22,-0.917,-0.564
elasticsearch,Line,13524594.83,459565087.04999995,446040492.22,32.98,2.239
cf-deployment,Line,75240.07,26166.559999999998,-49073.51,-0.652,-0.297
socket.io,Line,10125.609999999999,359220.79,349095.18,34.476,2.286
linux,Line,27289.0,81381.05,54092.05,1.982,0.439
d3,Line,70134.66,418.0,-69716.66,-0.994,-0.818
office-js,Line,1242704.6299999994,23800.0,-1218904.63,-0.981,-0.733
webpack,Line,526784.64,9922.0,-516862.64,-0.981,-0.733
jekyll,Line,43525.13,276206.0,232680.87,5.346,0.851
Odin,Line,232360.0,0.0,-232360.0,-1.0,-1.0
requests,Line,371.5,2443.96,2072.46,5.579,0.874
json-server,Line,95810.22,1219648.0,1123837.78,11.73,1.335
pm2,Line,11790.750000000002,1944.33,-9846.42,-0.835,-0.452
lodash,Line,208995.22,208988.22,-7.0,-0.0,0.0
devise,Line,10134.24,9848.9,-285.34,-0.028,-0.009
video.js,Line,105286.9,2423779.0,2318492.1,22.021,1.845
jest,Line,67578.01000000001,1784195.5899999999,1716617.58,25.402,1.978
webtorrent,Line,1691.0,1311.0,-380.0,-0.225,-0.081
superagent,Line,3636.4900000000002,5720.0,2083.51,0.573,0.163
npm,Line,855059.47,320027.41000000003,-535032.06,-0.626,-0.28
medium-editor,Line,45534.619999999995,5965.5,-39569.12,-0.869,-0.492
pandoc,Line,26920.780000000006,4928.05,-21992.73,-0.817,-0.432
mongoose,Line,51166.19,26802.520000000004,-24363.67,-0.476,-0.194
swagger-ui,Line,10244.32,127046.54000000001,116802.22,11.402,1.315
selenium,Line,144905.34,542452.4700000001,397547.13,2.743,0.553
browser-sync,Line,52323.6,2740.0,-49583.6,-0.948,-0.627
generator-jhipster,Line,13427.51,1973.7200000000003,-11453.79,-0.853,-0.472
karma,Line,21274.77,45911.119999999995,24636.35,1.158,0.292
keystone,Line,5590069.200000018,13136189.979999881,7546120.78,1.35,0.33
stylus,Line,7956.6,1805.0,-6151.6,-0.773,-0.39
jsdom,Line,3188745.0,346920.0,-2841825.0,-0.891,-0.522
systemjs,Line,23431.78,298976.78,275545.0,11.759,1.337
nightwatch,Line,85528.01,7337.69,-78190.32,-0.914,-0.559
fpm,Line,12657.34,4040.5,-8616.84,-0.681,-0.317
dat,Line,3547.5,4764364.5,4760817.0,1342.02,10.033
middleman,Line,1497.6100000000001,17077.57,15579.96,10.403,1.251
ng-file-upload,Line,4508.0,0.0,-4508.0,-1.0,-1.0
fluentd,Line,13055.8,20037.760000000002,6981.96,0.535,0.154
vega,Line,101336.46,125201.31999999999,23864.86,0.236,0.073
core-js,Line,362524.06,6320.0,-356204.06,-0.983,-0.743
mathjs,Line,51858.92,2795.0,-49063.92,-0.946,-0.622
pomelo,Line,47728.61,2700.0,-45028.61,-0.943,-0.615
AutoMapper,Line,848350.17,57903.0,-790447.17,-0.932,-0.592
natural,Line,5687.27,11396.0,5708.73,1.004,0.261
